 *  00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59
  +------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
31| 31 46 55 22 40 59 16 35 53 20 29 44 33 42 57 07 47 49 11 25 56 05 32 38 18 45 51 09 36 58 01 23 50 08 14 41 21 27 54 03 34 48 10 12 52 02 17 26 15 30 39 06 24 43 00 19 37 04 13 28
32| 32 47 56 23 41 58 17 34 52 19 28 43 35 44 59 08 45 50 10 26 54 04 30 37 20 46 53 11 38 57 02 21 48 06 13 39 22 29 55 05 33 49 09 14 51 00 15 24 16 31 40 07 25 42 01 18 36 03 12 27
33| 33 42 57 18 45 51 21 27 54 15 30 39 31 46 55 09 36 58 03 34 48 06 24 43 22 40 59 07 47 49 10 12 52 00 19 37 16 35 53 11 25 56 01 23 50 04 13 28 20 29 44 05 32 38 08 14 41 02 17 26
34| 34 43 58 19 47 52 23 28 56 17 32 41 30 45 54 10 37 59 04 35 50 08 26 44 21 39 57 06 46 48 11 13 53 02 20 38 15 33 51 09 24 55 00 22 49 05 14 29 18 27 42 03 31 36 07 12 40 01 16 25
35| 35 44 59 20 46 53 22 29 55 16 31 40 32 47 56 11 38 57 05 33 49 07 25 42 23 41 58 08 45 50 09 14 51 01 18 36 17 34 52 10 26 54 02 21 48 03 12 27 19 28 43 04 30 37 06 13 39 00 15 24
36| 36 48 24 49 12 37 25 50 13 38 14 26 51 27 39 40 52 00 53 01 28 29 41 02 42 54 15 55 03 43 16 56 04 44 05 17 57 18 30 31 58 06 59 07 19 20 32 08 33 45 21 46 09 34 22 47 10 35 11 23
37| 37 50 26 48 13 38 24 49 14 36 12 25 52 28 41 39 53 02 51 00 29 27 40 01 43 56 17 54 04 44 15 55 05 42 03 16 58 19 32 30 59 08 57 06 20 18 31 07 34 47 23 45 10 35 21 46 11 33 09 22
38| 38 49 25 50 14 36 26 48 12 37 13 24 53 29 40 41 51 01 52 02 27 28 39 00 44 55 16 56 05 42 17 54 03 43 04 15 59 20 31 32 57 07 58 08 18 19 30 06 35 46 22 47 11 33 23 45 09 34 10 21
39| 39 51 27 54 15 42 30 57 18 45 21 33 48 24 36 43 55 03 58 06 31 34 46 09 37 49 12 52 00 40 19 59 07 47 10 22 50 13 25 28 53 01 56 04 16 23 35 11 26 38 14 41 02 29 17 44 05 32 08 20
40| 40 53 29 55 16 44 31 59 20 46 22 35 49 25 38 42 56 05 57 07 32 33 47 11 36 50 14 51 01 41 18 58 08 45 09 23 48 12 26 27 52 02 54 03 17 21 34 10 24 37 13 39 00 28 15 43 04 30 06 19
41| 41 52 28 56 17 43 32 58 19 47 23 34 50 26 37 44 54 04 59 08 30 35 45 10 38 48 13 53 02 39 20 57 06 46 11 21 49 14 24 29 51 00 55 05 15 22 33 09 25 36 12 40 01 27 16 42 03 31 07 18
42| 42 57 33 51 18 45 27 54 21 39 15 30 55 31 46 36 58 09 48 03 34 24 43 06 40 59 22 49 07 47 12 52 10 37 00 19 53 16 35 25 56 11 50 01 23 13 28 04 29 44 20 38 05 32 14 41 08 26 02 17
43| 43 58 34 52 19 47 28 56 23 41 17 32 54 30 45 37 59 10 50 04 35 26 44 08 39 57 21 48 06 46 13 53 11 38 02 20 51 15 33 24 55 09 49 00 22 14 29 05 27 42 18 36 03 31 12 40 07 25 01 16
44| 44 59 35 53 20 46 29 55 22 40 16 31 56 32 47 38 57 11 49 05 33 25 42 07 41 58 23 50 08 45 14 51 09 36 01 18 52 17 34 26 54 10 48 02 21 12 27 03 28 43 19 37 04 30 13 39 06 24 00 15
45| 45 54 30 57 21 39 33 51 15 42 18 27 58 34 43 46 48 06 55 09 24 31 36 03 47 52 19 59 10 37 22 49 00 40 07 12 56 23 28 35 50 04 53 11 13 16 25 01 32 41 17 44 08 26 20 38 02 29 05 14
46| 46 55 31 59 22 40 35 53 16 44 20 29 57 33 42 47 49 07 56 11 25 32 38 05 45 51 18 58 09 36 23 50 01 41 08 14 54 21 27 34 48 03 52 10 12 17 26 02 30 39 15 43 06 24 19 37 00 28 04 13
47| 47 56 32 58 23 41 34 52 17 43 19 28 59 35 44 45 50 08 54 10 26 30 37 04 46 53 20 57 11 38 21 48 02 39 06 13 55 22 29 33 49 05 51 09 14 15 24 00 31 40 16 42 07 25 18 36 01 27 03 12
48| 48 24 36 37 49 12 50 13 25 26 38 14 39 51 27 52 00 40 28 53 01 41 02 29 54 15 42 43 55 03 56 04 16 17 44 05 30 57 18 58 06 31 19 59 07 32 08 20 45 21 33 34 46 09 47 10 22 23 35 11
49| 49 25 38 36 50 14 48 12 26 24 37 13 40 53 29 51 01 41 27 52 02 39 00 28 55 16 44 42 56 05 54 03 17 15 43 04 31 59 20 57 07 32 18 58 08 30 06 19 46 22 35 33 47 11 45 09 23 21 34 10
50| 50 26 37 38 48 13 49 14 24 25 36 12 41 52 28 53 02 39 29 51 00 40 01 27 56 17 43 44 54 04 55 05 15 16 42 03 32 58 19 59 08 30 20 57 06 31 07 18 47 23 34 35 45 10 46 11 21 22 33 09
51| 51 27 39 42 54 15 57 18 30 33 45 21 36 48 24 55 03 43 31 58 06 46 09 34 49 12 37 40 52 00 59 07 19 22 47 10 25 50 13 53 01 28 16 56 04 35 11 23 38 14 26 29 41 02 44 05 17 20 32 08
52| 52 28 41 43 56 17 58 19 32 34 47 23 37 50 26 54 04 44 30 59 08 45 10 35 48 13 38 39 53 02 57 06 20 21 46 11 24 49 14 51 00 29 15 55 05 33 09 22 36 12 25 27 40 01 42 03 16 18 31 07
53| 53 29 40 44 55 16 59 20 31 35 46 22 38 49 25 56 05 42 32 57 07 47 11 33 50 14 36 41 51 01 58 08 18 23 45 09 26 48 12 52 02 27 17 54 03 34 10 21 37 13 24 28 39 00 43 04 15 19 30 06
54| 54 30 45 39 57 21 51 15 33 27 42 18 43 58 34 48 06 46 24 55 09 36 03 31 52 19 47 37 59 10 49 00 22 12 40 07 28 56 23 50 04 35 13 53 11 25 01 16 41 17 32 26 44 08 38 02 20 14 29 05
55| 55 31 46 40 59 22 53 16 35 29 44 20 42 57 33 49 07 47 25 56 11 38 05 32 51 18 45 36 58 09 50 01 23 14 41 08 27 54 21 48 03 34 12 52 10 26 02 17 39 15 30 24 43 06 37 00 19 13 28 04
56| 56 32 47 41 58 23 52 17 34 28 43 19 44 59 35 50 08 45 26 54 10 37 04 30 53 20 46 38 57 11 48 02 21 13 39 06 29 55 22 49 05 33 14 51 09 24 00 15 40 16 31 25 42 07 36 01 18 12 27 03
57| 57 33 42 45 51 18 54 21 27 30 39 15 46 55 31 58 09 36 34 48 03 43 06 24 59 22 40 47 49 07 52 10 12 19 37 00 35 53 16 56 11 25 23 50 01 28 04 13 44 20 29 32 38 05 41 08 14 17 26 02
58| 58 34 43 47 52 19 56 23 28 32 41 17 45 54 30 59 10 37 35 50 04 44 08 26 57 21 39 46 48 06 53 11 13 20 38 02 33 51 15 55 09 24 22 49 00 29 05 14 42 18 27 31 36 03 40 07 12 16 25 01
59| 59 35 44 46 53 20 55 22 29 31 40 16 47 56 32 57 11 38 33 49 05 42 07 25 58 23 41 45 50 08 51 09 14 18 36 01 34 52 17 54 10 26 21 48 02 27 03 12 43 19 28 30 37 04 39 06 13 15 24 00
